,Magnitude,Scale,Time,Latitude,Longitude
0,3,ML,2019-12-28T21:32:55.290000Z,40.586,15.79
1,3.3,ML,2019-12-26T03:17:45.240000Z,43.19,12.933
2,3,ML,2019-12-20T16:31:54.020000Z,37.284,16.421
3,3.5,ML,2019-12-17T23:48:44.370000Z,37.839,14.935
4,3.4,ML,2019-12-16T08:53:59.470000Z,41.057,14.74
5,3,ML,2019-12-16T08:52:59.060000Z,41.071,14.706
6,3.2,ML,2019-12-16T08:08:13.620000Z,41.06,14.743
7,3.1,ML,2019-12-14T16:55:53.460000Z,44.009,11.297
8,3.3,ML,2019-12-11T15:29:55.230000Z,39.51,15.123
9,3.2,ML,2019-12-09T09:17:17.990000Z,44.009,11.306
10,3.2,ML,2019-12-09T07:05:04.770000Z,44.009,11.282
11,3,ML,2019-12-09T05:29:29.370000Z,43.996,11.313
12,3.1,ML,2019-12-09T05:19:33.940000Z,44.001,11.29
13,3.2,ML,2019-12-09T04:29:23.580000Z,44,11.281
14,3,ML,2019-12-09T03:42:36.690000Z,43.997,11.322
15,3.2,ML,2019-12-09T03:42:02.130000Z,43.998,11.285
16,3.4,ML,2019-12-09T02:42:52.330000Z,44.003,11.307
17,3.2,ML,2019-12-09T02:39:38.830000Z,43.998,11.303
18,4.2,ML,2019-12-02T08:26:25.640000Z,41.384,19.569
19,4,ML,2019-11-30T20:53:53.120000Z,41.508,19.479
20,4.2,ML,2019-11-28T23:00:44.640000Z,41.367,19.647
21,4.8,ML,2019-11-28T10:52:41.880000Z,41.448,19.392
22,5.4,ML,2019-11-27T14:45:24.810000Z,41.564,19.52
23,3.2,ML,2019-11-27T13:46:56.550000Z,39.684,15.403
24,3,ML,2019-11-27T13:08:25.960000Z,39.699,15.407
25,4.6,ML,2019-11-26T17:19:14.760000Z,41.52,19.477
26,4,ML,2019-11-26T17:06:01.900000Z,41.478,19.78
27,4.7,ML,2019-11-26T13:05:00.430000Z,41.575,19.675
28,4.2,ML,2019-11-26T12:14:13.210000Z,41.404,19.47
29,4.8,ML,2019-11-26T07:27:02.250000Z,41.509,19.461
30,3.8,ML,2019-11-26T07:12:31.860000Z,41.532,19.49
31,5.4,ML,2019-11-26T06:08:22.850000Z,41.535,19.466
32,4.3,ML,2019-11-26T05:56:21.940000Z,41.474,19.508
33,3.9,ML,2019-11-26T03:57:53.200000Z,41.532,19.415
34,4.4,ML,2019-11-26T01:47:56.260000Z,41.361,19.539
35,3.1,ML,2019-11-25T11:15:21.120000Z,41.064,14.747
36,3.2,ML,2019-11-25T10:27:32.850000Z,41.064,14.742
37,3.1,ML,2019-11-22T03:33:13.310000Z,40.386,14.773
38,3.1,ML,2019-11-18T07:16:28.900000Z,39.684,15.399
39,3.7,ML,2019-11-16T01:07:33.150000Z,39.716,15.435
40,3.2,ML,2019-11-14T09:55:06.840000Z,42.526,13.317
41,3.1,ML,2019-11-13T13:26:11.860000Z,37.739,15.143
42,3.5,ML,2019-11-07T23:19:50.400000Z,41.777,13.597
43,3.2,ML,2019-11-07T22:45:49.230000Z,39.494,15.906
44,3.4,ML,2019-11-05T15:24:52.530000Z,40.4,14.764
45,3,ML,2019-10-28T07:14:39.080000Z,42.715,13.035
46,3.3,ML,2019-10-26T13:20:39.150000Z,39.679,15.403
47,3.2,ML,2019-10-26T01:17:51.620000Z,37.74,15.134
48,3,ML,2019-10-25T00:36:25.040000Z,41.694,14.819
49,3.1,ML,2019-10-19T01:03:56.120000Z,37.053,15.479
50,3.1,ML,2019-10-18T01:06:07.750000Z,37.726,15.171
51,3.8,ML,2019-10-14T20:42:41.180000Z,38.832,14.871
52,3.1,ML,2019-10-12T12:29:55.330000Z,42.492,13.297
53,3,ML,2019-10-09T14:11:31.230000Z,38.309,15.068
54,3.2,ML,2019-09-27T14:26:54.320000Z,35.89,15.269
55,3.2,ML,2019-09-25T16:03:02.960000Z,42.898,13.218
56,3,ML,2019-09-22T01:28:40.010000Z,42.822,13.196
57,4.3,ML,2019-09-21T19:55:44.220000Z,40.364,15.15
58,5.2,ML,2019-09-21T14:15:54.670000Z,41.337,19.501
59,5.4,ML,2019-09-21T14:04:25.480000Z,41.346,19.498
60,3.2,ML,2019-09-18T19:36:43.750000Z,42.795,13.123
61,3.1,ML,2019-09-17T21:32:34.840000Z,37.741,14.893
62,3,ML,2019-09-17T18:40:49.780000Z,37.743,14.888
